id,blockedComments,clientId,createdAt,deploymentType,environment,featureName,nextDeliveryDate,notes,productId,releaseItems,status,statusHistory,updatedAt
2g9axrPgFfYNzbZkPOjY,[],,2025-12-19T13:54:53.940Z,ga,production,,2026-01-06,,zcoMIxT9p46vmV15sSlR,,In Progress,"[{""id"":""dde6bac2-417b-4a63-bda5-3b336d9e3834"",""author"":""System"",""fromStatus"":""Not Started"",""text"":""Status changed from \""Not Started\"" to \""In Progress\"""",""type"":""status_change"",""toStatus"":""In Progress"",""timestamp"":""2025-12-19T13:55:02.676Z""}]",2025-12-19T13:55:02.892Z
4Voyc5SJ33N7cWsaAIRt,[],rjQkuaZfczwpQDJN2CBh,2025-12-19T13:27:52.126Z,client-specific,sandbox,,2025-12-19,,1YkP7aG8xgS9DGwcNOLr,,Released,"[{""fromStatus"":""Not Started"",""type"":""status_change"",""id"":""55336d80-46df-4b24-9f03-5e27e7cf58c6"",""timestamp"":""2025-12-19T13:27:55.420Z"",""author"":""System"",""toStatus"":""Released"",""text"":""Status changed from \""Not Started\"" to \""Released\""""}]",2025-12-19T13:27:55.618Z
5InRa5E17O3boxlLRxZQ,[],,2025-12-17T14:16:57.933Z,generic,,,2026-02-27,,Z4D8d2hoBVakZlcy0dBW,,Released,"[{""type"":""status_change"",""id"":""509f1da0-8a7c-4120-b1a7-09d7415dbaf7"",""toStatus"":""Released"",""fromStatus"":""In Progress"",""timestamp"":""2025-12-19T13:27:47.045Z"",""text"":""Status changed from \""In Progress\"" to \""Released\"""",""author"":""System""}]",2025-12-19T13:27:47.238Z
5n2A9b7F1bZpt0uI27hw,[],9ybszWGxVKRmZM2OXIo6,2025-12-18T15:31:13.211Z,client-specific,,,2025-12-16,,Mofaz68FVhlW8Z6H4B7p,,Released,"[{""author"":""System"",""id"":""8cfdb9a0-1e90-4962-8c0b-0e5ed4d9635b"",""fromStatus"":""Not Started"",""timestamp"":""2025-12-18T15:31:17.219Z"",""toStatus"":""Released"",""type"":""status_change"",""text"":""Status changed from \""Not Started\"" to \""Released\""""}]",2025-12-18T15:31:17.405Z
7oNukPmDf8CHEPyIbe6F,[],,2025-12-17T14:23:49.809Z,generic,,,2025-12-17,,CfngN0Hz4lQl706qofv1,,Released,"[{""toStatus"":""Released"",""timestamp"":""2025-12-18T15:40:50.167Z"",""fromStatus"":""In Progress"",""text"":""Status changed from \""In Progress\"" to \""Released\"""",""author"":""System"",""id"":""8a9bbfbb-9c10-4b02-a97b-d83d9e1a940b"",""type"":""status_change""}]",2025-12-18T15:40:51.015Z
9w0zh0zbC4LTNdh6mbdt,[],,2025-12-17T18:58:06.995Z,generic,,,2026-01-06,,2uAlYj4OtBCsYPi9FfFD,,In Progress,"[{""text"":""Status changed from \""In Progress\"" to \""Released\"""",""type"":""status_change"",""toStatus"":""Released"",""id"":""d9433f53-acd6-4653-bee1-f47d2b1a9d7f"",""fromStatus"":""In Progress"",""timestamp"":""2025-12-19T13:25:22.737Z"",""author"":""System""},{""timestamp"":""2025-12-19T13:34:06.852Z"",""type"":""status_change"",""id"":""d3e5675b-22c3-4fde-8c33-715bf16905d1"",""fromStatus"":""Released"",""toStatus"":""In Progress"",""text"":""Status changed from \""Released\"" to \""In Progress\"""",""author"":""System""}]",2025-12-19T13:34:07.717Z
9wSDaIAylt0xMhDMVVGn,[],,2025-12-17T14:37:36.815Z,generic,qa,,2026-01-30,,lIWBfu8htqlhmyOVo9Tf,,Released,"[{""timestamp"":""2025-12-19T13:26:40.649Z"",""fromStatus"":""In Progress"",""id"":""dc44fc05-f5ed-4bc3-a857-ae2ebafb3eb0"",""text"":""Status changed from \""In Progress\"" to \""Released\"""",""author"":""System"",""toStatus"":""Released"",""type"":""status_change""}]",2025-12-22T14:21:45.728Z
AGYI8cFTIYqOgbQ55msC,[],,2025-12-17T14:25:23.738Z,generic,,,2026-01-16,,Zfppp78pdfaScHrypCOp,,Released,"[{""toStatus"":""Released"",""id"":""a91cef43-6370-4fe7-9f1e-9bb7d9e7f8ef"",""author"":""System"",""type"":""status_change"",""timestamp"":""2025-12-19T13:26:13.036Z"",""text"":""Status changed from \""Not Started\"" to \""Released\"""",""fromStatus"":""Not Started""}]",2025-12-19T13:26:13.229Z
H7e3Wu0TJin1ZeOPf5G5,[],sGawlD55KlVyhgUUcj8L,2025-12-19T13:29:51.450Z,client-specific,sandbox,,2025-12-19,,1YkP7aG8xgS9DGwcNOLr,,Released,"[{""text"":""Status changed from \""Not Started\"" to \""Released\"""",""id"":""cc171419-623f-4e99-991b-ff02ac2fd7bc"",""fromStatus"":""Not Started"",""type"":""status_change"",""toStatus"":""Released"",""timestamp"":""2025-12-19T13:29:55.270Z"",""author"":""System""}]",2025-12-19T13:29:55.469Z
HsTfbsn97cl6CMMLuKYQ,[],,2025-12-17T14:26:12.247Z,generic,,,2026-01-30,"[{""author"":""Admin"",""type"":""note"",""id"":""7efe62d3-885b-4985-81ab-f0d7d01877b3"",""parentId"":null,""text"":""Marking in progress as per the discussion with Kushagra"",""timestamp"":""2025-12-18T15:45:08.265Z""}]",FfeiU2sSck9vtiBopuq9,,In Progress,"[{""toStatus"":""In Progress"",""text"":""Status changed from \""Not Started\"" to \""In Progress\"""",""timestamp"":""2025-12-18T15:44:56.498Z"",""id"":""1c0b699d-6815-42cf-bae9-c6cc52177577"",""author"":""System"",""fromStatus"":""Not Started"",""type"":""status_change""},{""toStatus"":""Released"",""id"":""2e0dc458-ef6f-4634-9024-4df6988623fa"",""author"":""System"",""fromStatus"":""In Progress"",""type"":""status_change"",""text"":""Status changed from \""In Progress\"" to \""Released\"""",""timestamp"":""2025-12-19T13:25:07.947Z""},{""timestamp"":""2025-12-19T13:34:18.252Z"",""author"":""System"",""text"":""Status changed from \""Released\"" to \""In Progress\"""",""fromStatus"":""Released"",""type"":""status_change"",""id"":""a02bd683-c83f-45e7-b495-d3701a0034ed"",""toStatus"":""In Progress""}]",2025-12-19T13:34:45.469Z
